TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,PitTag,JvPitTag,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight,AdClip
3DD.003D2F9792,2020-03-24T03:01:58Z,SUN,SUNA0,"PRO, SUNA0, PRO",Prosser,pb,2020-01-29T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F9792,NA,PAS,NA,NA,F,72,NA,57,8.15,NA
3DD.003D2F9793,2020-04-13T03:35:17Z,AH1,AH1A0,"PRO, AH1B0, AH1A0, AH1B0, AH1A0",Prosser,pb,2019-10-14T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F9793,NA,PAS,NA,NA,F,62,NA,47,4.8,NA
3DD.003D2F9794,2020-02-07T04:34:37Z,AH1,AH1A0,"PRO, SUNA0, AH1B0, AH1A0",Prosser,pb,2019-10-14T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F9794,NA,PAS,NA,NA,F,51,NA,43,2.9,NA
3DD.003D2F9795,2020-05-17T05:49:00Z,BCC,BelowJD1,"PRO, BelowJD1",Prosser,pb,2019-11-13T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F9795,NA,PAS,NA,NA,F,60,NA,51,2.16,NA
3DD.003D2F9796,2020-02-02T07:29:50Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-11-14T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F9796,NA,PAS,NA,NA,F,74,NA,65,8.7,NA
3DD.003D2F9797,2020-02-27T18:12:02Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-12-13T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F9797,NA,PAS,NA,NA,M,68,NA,55,5.8,NA
3DD.003D2F9798,2020-03-02T03:18:37Z,SUN,SUNA0,"PRO, SUNA0, PRO",Prosser,pb,2020-02-24T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F9798,NA,PAS,NA,NA,F,72,NA,60,7.9,NA
3DD.003D2F9799,2020-03-21T23:35:44Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-01-29T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F9799,NA,PAS,NA,NA,M,57,NA,44,3.6,NA
3DD.003D2F979A,2019-12-31T08:45:05Z,PRO,PRO,PRO,Prosser,pb,2019-12-31T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F979A,NA,PAS,NA,NA,M,59,NA,47,4.4,NA
3DD.003D2F979B,2020-03-31T22:09:46Z,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-10-18T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F979B,NA,PAS,NA,NA,F,55,NA,44,3.35,NA
3DD.003D2F979C,2020-03-18T01:06:07Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-10-07T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F979C,NA,PAS,NA,NA,F,63,NA,52,5.25,NA
3DD.003D2F979D,2020-03-28T22:58:51Z,AH1,AH1A0,"PRO, SUNA0, AH1B0, AH1A0",Prosser,pb,2019-10-08T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F979D,NA,PAS,NA,NA,F,55,NA,44,3.5,NA
3DD.003D2F979E,2020-03-24T17:34:33Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0",Prosser,pb,2019-11-13T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F979E,NA,PAS,NA,NA,M,56,NA,47,1.68,NA
3DD.003D2F979F,2020-03-27T05:13:51Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-10-17T00:00:00Z,-2209027680,wsth,NA,3DD.003D2F979F,NA,PAS,NA,NA,F,60,NA,48,4.15,NA
3DD.003D2F97A0,2019-09-26T08:53:26Z,PRO,PRO,PRO,Prosser,pb,2019-09-26T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97A0,NA,PAS,NA,NA,F,62,NA,50,4.55,NA
3DD.003D2F97A1,2019-11-16T15:08:15Z,PRO,PRO,PRO,Prosser,pb,2019-11-13T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F97A1,NA,PAS,NA,NA,M,58,NA,49,1.56,NA
3DD.003D2F97A2,2020-04-07T01:54:06Z,LNR,LNR,"PRO, LNR, PRO",Prosser,pb,2019-10-17T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97A2,NA,PAS,NA,NA,F,65,NA,53,5.95,NA
3DD.003D2F97A5,2020-11-05T16:55:53Z,PRO,PRO,PRO,Prosser,pb,2019-11-14T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97A5,NA,PAS,NA,NA,M,62,NA,52,4.95,NA
3DD.003D2F97A6,2020-02-06T21:36:23Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2020-01-29T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97A6,NA,PAS,NA,NA,M,77,NA,61,8.2,NA
3DD.003D2F97A7,2020-01-31T20:52:33Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-12-31T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97A7,NA,PAS,NA,NA,M,77,NA,61,7.75,NA
3DD.003D2F97AA,2020-01-25T16:27:56Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-10-21T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97AA,NA,PAS,NA,NA,F,66,NA,54,5.6,NA
3DD.003D2F97AB,2020-04-13T14:47:03Z,ROZ,ROZA0,"PRO, ROZB0, ROZA0",Prosser,pb,2019-11-14T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97AB,NA,PAS,NA,NA,M,61,NA,51,5.1,NA
3DD.003D2F97AC,2020-04-24T15:31:43Z,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-11-04T00:00:00Z,-2209013280,wsth,NA,NA,3DD.003D2F97AC,PAS,NA,NA,F,52,NA,40,2.55,NA
3DD.003D2F97AD,2020-04-23T16:45:07Z,LNR,LNR,"PRO, LNR",Prosser,pb,2019-11-13T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97AD,NA,PAS,NA,NA,F,69,NA,51,1.78,NA
