TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight
3DD.007736E1D7,2019-05-06 22:15:43,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TOPB0",Prosser,pb,2018-09-25T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,61,NA,48,4.75
3DD.007736E4D9,2019-05-23 18:53:22,BCC,BelowJD1,"PRO, BelowJD1",Prosser,pb,2018-10-18T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,70,NA,53,6.65
3DD.007736ED2D,2018-10-23 16:20:07,PRO,PRO,PRO,Prosser,pb,2018-10-22T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,65,NA,48,5.45
3DD.007736F2C4,2018-10-27 13:17:43,PRO,PRO,PRO,Prosser,pb,2018-10-27T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,57,NA,42,3.75
3DD.00773707EA,2019-03-16 10:23:06,ROZ,ROZA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0",Prosser,pb,2018-10-26T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,67,NA,49,6.75
3DD.0077370887,2019-04-26 15:06:06,ROZ,ROZA0,"PRO, ROZB0, ROZA0, PRO",Prosser,pb,2018-10-02T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,55,NA,42,4.05
3DD.0077370907,2019-03-31 22:44:05,LNR,LNR,"PRO, SUNB0, SUNA0, LNR",Prosser,pb,2018-10-23T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,59,NA,43,4.35
3DD.0077370983,2018-10-22 15:37:16,ROZ,ROZA0,"PRO, SUNB0, SUNA0, ROZB0, ROZA0, ROZB0, ROZA0",Prosser,pb,2018-09-06T00:00:00Z,0.4666666666666666,wsth,NA,PAS,NA,NA,M,56,NA,41,3.9
3DD.00773709CB,2019-03-16 01:25:58,SAT,SATB0,"PRO, SATB0",Prosser,pb,2018-10-03T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,72,NA,58,8.3
3DD.007737107B,2019-03-23 08:15:59,TP2,TP2A0,"PRO, TOPB0, TP2A0",Prosser,pb,2018-10-25T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,63,NA,46,5.65
3DD.00773710CD,2018-10-13 08:41:00,PRO,PRO,PRO,Prosser,pb,2018-10-13T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,73,NA,56,7.25
3DD.00773715BD,2019-03-15 01:44:55,SAT,SATB0,"PRO, SATB0, PRO",Prosser,pb,2018-10-25T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,61,NA,45,6.35
3DD.00773715CE,2019-01-24 15:51:06,SAT,SATA0,"PRO, SATA0, SATB0",Prosser,pb,2018-10-12T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,69,NA,55,6.35
3DD.0077371C9B,2019-03-23 11:39:40,SM1,SM1A0,"PRO, TOPB0, TOPA0, SM1B0, SM1A0, SM1B0, SM1A0, SM1B0, SM1A0, SM1B0, SM1A0, SM1B0, TOPA0, TOPB0",Prosser,pb,2018-10-22T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,69,NA,52,6.75
3DD.0077372AD5,2019-03-30 14:27:42,LWC,LWCA0,"PRO, LWCB0, LWCA0, LWCB0",Prosser,pb,2018-10-08T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,75,NA,58,8.55
3DD.0077372B8B,2019-04-02 20:21:06,LNR,LNR,"PRO, SUNA0, SUNB0, SUNA0, LNR",Prosser,pb,2018-10-18T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,54,NA,41,2.8
3DD.0077372BA1,2019-04-02 03:16:51,LNR,LNR,"PRO, SUNB0, LNR",Prosser,pb,2018-10-14T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,59,NA,44,3.5
3DD.0077372C50,2019-03-30 09:58:48,LWC,LWCA0,"PRO, LWCB0, LWCA0, PRO",Prosser,pb,2018-10-19T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,62,NA,47,4.5
3DD.0077373137,2019-03-16 21:35:56,ROZ,ROZA0,"PRO, SUNB0, SUNA0, ROZB0, ROZA0",Prosser,pb,2018-10-27T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,66,NA,50,6.55
3DD.00773737D2,2019-04-18 07:32:34,LNR,LNR,"PRO, LNR",Prosser,pb,2018-10-26T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,56,NA,41,4
3DD.00773739E7,2019-04-22 03:10:45,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2018-10-01T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,58,NA,43,4.05
3DD.0077373EFE,2019-03-22 06:59:44,AH1,AH1A0,"PRO, SUNB0, AH1B0, AH1A0",Prosser,pb,2018-10-24T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,59,NA,42,4.15
3DD.00773745FD,2019-03-22 13:53:22,TP2,TP2A0,"PRO, TOPB0, TP2B0, TP2A0",Prosser,pb,2018-11-13T00:00:00Z,0.425,wsth,NA,PAS,NA,NA,M,59,NA,47,4.1
3DD.0077374605,2019-03-21 01:05:28,ROZ,ROZA0,"PRO, SUNB0, ROZB0, ROZA0, PRO",Prosser,pb,2018-10-12T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,75,NA,57,8.85
3DD.0077374652,2019-05-06 20:50:53,LMT,LMTA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, LMTA0",Prosser,pb,2018-11-13T00:00:00Z,0.4666666666666666,wsth,NA,PAS,NA,NA,F,58,NA,46,3.45
3DD.007737527D,2019-03-21 16:17:00,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0",Prosser,pb,2018-10-23T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,58,NA,42,3.4
3DD.007737543D,2019-03-16 03:37:41,TP2,TP2A0,"PRO, TOPA0, TOPB0, TP2B0, TP2A0",Prosser,pb,2018-10-11T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,64,NA,47,5.65
3DD.007737587E,2019-04-08 13:50:07,TP2,TP2A0,"PRO, TOPA0, TP2B0, TP2A0, TP2B0",Prosser,pb,2018-10-25T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,64,NA,48,6.45
3DD.00773758EB,2019-03-22 11:55:19,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0",Prosser,pb,2018-12-03T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,62,NA,51,5.35
