"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Name","Event Release Date MMDDYYYY","CTH Count"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","BO4","9/17/2021 5:55:08 AM","04","110","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","BO4","9/17/2021 6:00:58 AM","03","110","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","BO4","9/17/2021 6:08:02 AM","02","110","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","BO4","9/17/2021 6:08:03 AM","02","110","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","BO4","9/17/2021 6:11:39 AM","01","110","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","JO1","9/20/2021 3:20:28 AM","05","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","JO1","9/20/2021 3:20:29 AM","05","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","JO1","9/20/2021 3:20:32 AM","01","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","JO1","9/20/2021 3:20:33 AM","01","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","MC1","9/23/2021 7:19:30 AM","02","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","MC1","9/23/2021 7:19:31 AM","02","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","MC1","9/23/2021 7:19:37 AM","01","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","TD1","9/19/2021 10:36:16 AM","02","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","TD1","9/19/2021 10:36:17 AM","02","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","TD1","9/19/2021 10:36:22 AM","01","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Observation","Adult Fishway","TD1","9/19/2021 10:36:23 AM","01","100","","","1"
"3DD.003D2F6751","Coho","Hatchery Reared","Recapture","Dam","PRO","9/30/2021 9:30:40 AM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","9/30/2021","1"
"3DD.003D2F93FC","Steelhead","Unknown","Mark","Dam","PRO","9/24/2021 1:14:54 PM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","9/24/2021","1"
"3DD.003D2F93FC","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2021 3:30:29 PM","05","110","","","1"
"3DD.003D2F93FC","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2021 3:30:36 PM","06","110","","","1"
"3DD.003D2F93FC","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2021 3:58:24 PM","06","110","","","1"
"3DD.003D2F93FC","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2021 3:59:24 PM","05","110","","","1"
"3DD.003D2F93FC","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2021 3:59:25 PM","05","110","","","1"
