"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"3D9.1C2E0EA32F","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/16/2013","10/16/2013 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA34C","WJB15257.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/14/2015","9/14/2015 12:00:00 AM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/21/2015","10/21/2015 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF MA","Male, Tagged as Adult, Returning Fish","WJB15257.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/14/2015","1"
"3D9.1C2E0EA3C8","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/27/2013","10/27/2013 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA3F1","WJB15257.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/14/2015","9/14/2015 12:00:00 AM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","11/14/2015","11/14/2015 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF MA","Male, Tagged as Adult, Returning Fish","WJB15257.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/14/2015","1"
"3D9.1C2E0EA41F","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/5/2013","10/5/2013 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA431","WJB15257.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/14/2015","9/14/2015 12:00:00 AM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","11/7/2015","11/7/2015 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB15257.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/14/2015","1"
"3D9.1C2E0EA453","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/10/2013","10/10/2013 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA4A0","WJB15257.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/14/2015","9/14/2015 12:00:00 AM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","12/8/2015","12/8/2015 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB15257.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/14/2015","1"
"3D9.1C2E0EA4C3","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","1/9/2014","1/9/2014 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF MA RT","Male, Returning Fish, Tagged as Adult, Radio Tagged","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA4D5","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","1/12/2014","1/12/2014 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF MA","Male, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA4EE","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","11/4/2013","11/4/2013 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA4FD","WJB13259.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/16/2013","9/16/2013 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/6/2013","10/6/2013 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB13259.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/16/2013","1"
"3D9.1C2E0EA551","WJB14031.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","1/31/2014","1/31/2014 12:00:00 PM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","3/18/2014","3/18/2014 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF MA RT","Male, Returning Fish, Tagged as Adult, Radio Tagged","WJB14031.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","1/31/2014","1"
"3D9.1C2E0EA55B","WJB15257.PRO","Mark","Adult Passage Ladder","LADDER","PRO - Prosser Diversion Dam, Yakima River","PRO","9/14/2015","9/14/2015 12:00:00 AM","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/11/2015","10/11/2015 12:00:00 AM","Unknown","U","3","Steelhead","32U","Summer Steelhead (unknown r/t)","AT RF FE","Female, Tagged as Adult, Returning Fish","WJB15257.PRO","WJB - Yakima Basin Adult Tagging Projects","Steelhead","Unknown","PRO","9/14/2015","1"
